FirstYrScore,SecondYrScore,StudyTime,Failures,Absences,FinalYrScore
11,11,1,0,0,12
11,8,2,0,2,8
16,12,1,0,8,13
9,8,1,3,6,10
17,15,1,0,2,15
10,12,2,1,4,12
7,6,1,2,0,0
5,9,2,2,6,7
7,0,1,1,0,0
10,10,1,0,2,10
5,8,2,3,0,7
12,11,1,1,16,12
10,10,2,0,4,10
14,15,2,0,0,16
6,7,2,0,0,0
14,14,2,0,0,14
6,5,1,2,0,0
13,15,2,0,2,16
13,11,2,0,0,10
8,7,2,3,0,0
10,11,2,0,4,9
10,9,2,0,4,9
13,13,2,0,2,11
6,5,2,0,4,6
10,8,1,0,10,9
10,10,2,0,4,11
9,8,2,0,10,8
12,13,2,0,2,12
16,17,2,0,0,17
9,9,2,0,56,8
12,13,2,0,14,12
12,12,2,0,12,11
11,12,1,0,2,11
15,15,2,0,0,15
8,7,2,0,6,9
8,9,2,0,4,10
11,12,2,0,10,13
8,8,2,0,0,9
7,8,2,0,12,8
8,9,1,0,8,10
13,14,1,0,0,14
14,15,2,0,0,15
17,15,1,0,4,16
9,9,1,0,8,10
18,18,1,1,24,18
9,9,2,0,0,10
16,16,2,0,2,16
8,10,2,0,6,10
9,9,2,0,4,10
7,6,1,0,18,6
10,10,4,0,6,11
10,9,3,1,28,9
7,7,2,3,5,7
11,12,2,0,10,13
9,9,1,0,6,10
7,7,3,0,6,7
8,8,4,0,10,8
12,12,2,0,13,13
12,13,2,0,0,14
6,7,2,1,15,8
8,10,1,0,12,10
14,15,2,0,2,15
6,6,2,2,22,4
6,6,2,1,13,8
7,7,1,0,3,8
9,10,3,0,4,10
6,6,2,0,2,6
6,5,3,1,0,0
16,16,2,0,2,17
12,13,2,0,0,13
13,13,3,0,0,14
9,8,2,1,16,7
16,15,2,0,10,15
12,11,2,0,2,12
10,8,2,0,14,9
12,10,3,0,10,12
13,13,2,0,14,14
11,11,2,0,4,11
11,9,2,0,14,9
14,13,2,0,2,13
9,7,2,0,18,6
11,9,3,0,10,10
14,13,2,0,4,13
13,12,1,0,20,12
13,11,2,0,2,11
7,7,2,1,0,0
12,12,2,0,14,12
10,11,2,0,2,12
6,0,1,0,0,0
13,12,1,0,0,12
7,0,3,0,0,0
18,18,1,0,6,18
12,12,1,0,4,13
6,8,1,3,16,8
3,5,2,1,8,5
13,15,1,0,0,15
6,8,1,1,0,8
7,10,2,0,6,10
6,9,1,1,4,8
8,9,1,0,0,8
8,12,1,0,0,12
7,9,1,1,2,8
14,12,4,0,6,13
11,11,2,0,12,11
15,14,2,0,8,14
10,9,4,0,0,0
17,18,2,0,21,18
8,8,2,0,2,8
13,12,3,0,1,12
10,9,3,0,4,9
9,10,3,0,0,0
17,17,2,0,13,17
9,9,2,0,2,10
12,10,2,0,8,11
10,9,2,0,10,10
6,0,2,0,0,0
9,9,2,2,15,9
15,14,4,0,4,14
11,11,2,0,2,11
15,14,2,0,2,14
10,10,2,0,2,10
12,12,2,0,6,12
10,9,2,0,75,9
9,9,1,0,22,9
9,8,2,1,15,8
10,11,1,0,8,10
8,8,1,0,30,8
11,9,1,1,19,10
12,12,4,0,1,12
8,9,2,0,4,10
10,9,2,0,4,11
12,10,2,0,2,11
18,18,3,0,5,19
13,12,3,0,6,12
15,14,3,0,6,14
15,13,2,0,9,15
12,11,2,0,11,11
15,15,3,0,0,15
12,12,2,1,12,13
18,18,4,0,6,18
14,13,3,0,8,14
14,12,1,0,4,11
10,9,2,0,0,0
10,8,2,0,10,8
14,13,4,0,0,14
16,15,1,0,5,16
12,10,2,0,14,11
11,11,1,0,0,10
15,12,3,0,0,14
17,17,4,0,0,18
15,14,2,1,20,13
14,12,2,1,8,12
17,18,1,0,0,18
8,9,1,1,38,8
15,12,2,1,0,12
12,10,2,1,18,10
9,9,2,1,0,0
14,12,2,0,20,13
13,11,2,1,3,11
13,10,2,1,22,11
15,13,3,2,14,13
13,11,3,1,40,11
8,8,2,0,0,0
9,10,3,0,9,9
11,11,3,0,0,10
11,11,2,0,2,11
13,13,2,0,23,13
11,9,2,0,12,9
11,11,3,0,3,11
12,14,3,0,1,15
16,15,3,0,0,15
9,12,3,0,3,11
14,15,1,0,3,16
11,10,1,0,8,10
10,9,3,0,7,9
14,14,3,0,4,14
9,8,4,0,2,8
12,14,3,0,7,14
7,0,2,0,0,0
8,8,2,0,0,0
10,9,4,0,0,0
16,15,3,0,16,15
14,13,3,1,12,13
7,8,2,0,0,0
16,15,4,0,7,17
9,10,2,0,4,10
11,12,3,1,4,11
10,10,2,1,0,0
16,15,2,0,11,15
9,8,2,1,0,0
11,10,3,0,4,10
13,13,3,0,7,14
16,15,3,0,9,16
10,10,3,0,0,9
13,15,3,0,0,15
11,13,1,1,10,13
8,7,2,3,8,8
13,13,2,0,2,13
8,7,1,1,7,8
8,8,1,1,4,8
13,11,2,0,4,11
10,9,2,0,0,9
12,13,2,0,4,13
12,12,2,0,2,11
10,10,1,0,4,10
18,16,3,0,0,16
13,13,2,0,0,13
13,12,2,1,2,12
11,11,2,0,0,10
16,15,2,0,0,15
12,11,2,0,0,12
10,10,2,0,4,10
13,13,3,0,0,13
7,6,1,1,0,0
11,10,1,0,0,10
14,12,2,0,10,11
7,7,2,2,4,9
14,12,1,0,3,12
13,11,3,0,8,11
6,5,1,0,14,5
19,18,3,0,0,19
8,8,3,0,2,10
15,14,3,2,4,15
8,9,2,0,4,10
15,15,2,0,0,15
10,10,2,0,17,10
15,14,2,0,4,14
7,6,1,0,5,7
11,11,2,0,2,10
6,5,1,1,0,0
6,5,1,1,14,5
10,9,3,0,2,10
6,5,1,0,7,6
7,5,3,1,0,0
7,9,2,0,0,8
6,5,2,1,0,0
9,9,2,2,11,9
14,16,1,0,3,16
10,8,1,3,3,7
11,12,1,0,0,10
8,9,1,0,5,9
